,Jogador,Campeonato,Rodada,Data,Mandante,Oponente,Posição,Minuto,Tipo,Assistido por
50,Ronaldo,Champions League,Quarter-Finals,2007-04-10,H,AS Roma,RW,44,Right-footed shot,Ryan Giggs
53,Ronaldo,Champions League,Semi-Finals,2007-04-24,H,AC Milan,RW,5,Header,Ryan Giggs
55,Ronaldo,Champions League,Group Stage,2007-09-19,A,Sporting CP,RW,62,Header,Wes Brown
59,Ronaldo,Champions League,Group Stage,2007-10-23,A,Dynamo Kyiv,RW,41,Penalty,
62,Ronaldo,Champions League,Group Stage,2007-11-07,H,Dynamo Kyiv,RW,88,Right-footed shot,Patrice Evra
65,Ronaldo,Champions League,Group Stage,2007-11-27,H,Sporting CP,RW,93,Direct free kick,
84,Ronaldo,Champions League,Round of 16,2008-03-04,H,Olympique Lyon,RW,41,Left-footed shot,
90,Ronaldo,Champions League,Quarter-Finals,2008-04-01,A,AS Roma,RW,39,Header,Paul Scholes
96,Ronaldo,Champions League,Final,2008-05-21,H,Chelsea,LW,26,Header,Wes Brown
106,Ronaldo,Club World Cup,Semi-Finals,2008-12-18,A,Gamba Osaka,LW,46,Header,Ryan Giggs
113,Ronaldo,Champions League,Round of 16,2009-03-11,H,Inter,RW,49,Header,Wayne Rooney
117,Ronaldo,Champions League,Quarter-Finals,2009-04-15,A,FC Porto,RW,6,Long distance kick,Anderson
120,Ronaldo,Champions League,Semi-Finals,2009-05-05,A,Arsenal,CF,11,Direct free kick,
123,Ronaldo,LaLiga,Group Stage,2009-08-29,H,Dep. La Coruña  ,RW,34,Penalty,
124,Ronaldo,LaLiga,Group Stage,2009-09-12,A,Espanyol  ,,90,Right-footed shot,Guti
125,Ronaldo,Champions League,Group Stage,2009-09-15,A,FC Zürich,LW,27,Direct free kick,
127,Ronaldo,LaLiga,Group Stage,2009-09-20,H,Xerez CD  ,RW,1,Right-footed shot,
129,Ronaldo,LaLiga,Group Stage,2009-09-23,A,Villarreal  ,CF,2,Right-footed shot,
130,Ronaldo,Champions League,Group Stage,2009-09-30,H,Marseille,LW,58,Left-footed shot,Pepe
132,Ronaldo,LaLiga,Group Stage,2009-12-05,H,UD Almería  ,CF,84,Right-footed shot,Gonzalo Higuaín
133,Ronaldo,Champions League,Group Stage,2009-12-08,A,Marseille,CF,5,Direct free kick,
135,Ronaldo,LaLiga,Group Stage,2009-12-19,H,Real Zaragoza  ,CF,50,Left-footed shot,Ezequiel Garay
136,Ronaldo,LaLiga,Group Stage,2010-01-24,H,Málaga CF  ,RW,35,Right-footed shot,Kaká
138,Ronaldo,LaLiga,Group Stage,2010-02-13,A,Xerez CD  ,,69,Header,Kaká
140,Ronaldo,LaLiga,Group Stage,2010-02-21,H,Villarreal  ,,18,Direct free kick,
141,Ronaldo,LaLiga,Group Stage,2010-02-27,A,CD Tenerife  ,,78,Penalty,
142,Ronaldo,LaLiga,Group Stage,2010-03-06,H,Sevilla FC  ,CF,59,Left-footed shot,
143,Ronaldo,Champions League,Round of 16,2010-03-10,H,Olympique Lyon,LW,6,Left-footed shot,Guti
144,Ronaldo,LaLiga,Group Stage,2010-03-14,A,Real Valladolid  ,CF,29,Direct free kick,
145,Ronaldo,LaLiga,Group Stage,2010-03-25,A,Getafe  ,,13,Direct free kick,
147,Ronaldo,LaLiga,Group Stage,2010-04-04,A,Racing  ,,23,Penalty,
148,Ronaldo,LaLiga,Group Stage,2010-04-15,A,UD Almería  ,,26,Left-footed shot,
149,Ronaldo,LaLiga,Group Stage,2010-04-18,H,Valencia  ,CF,77,Right-footed shot,Marcelo
150,Ronaldo,LaLiga,Group Stage,2010-05-02,H,CA Osasuna  ,,25,Right-footed shot,
152,Ronaldo,LaLiga,Group Stage,2010-05-05,A,RCD Mallorca  ,,26,Right-footed shot,Sergio Ramos
155,Ronaldo,LaLiga,Group Stage,2010-05-08,H,Athletic  ,CF,21,Penalty,
156,Ronaldo,LaLiga,Group Stage,2010-09-21,H,Espanyol  ,LW,28,Penalty,
157,Ronaldo,LaLiga,Group Stage,2010-10-03,H,Dep. La Coruña  ,LW,4,Header,Mesut Özil
159,Ronaldo,LaLiga,Group Stage,2010-10-16,A,Málaga CF  ,LW,45,Right-footed shot,Mesut Özil
161,Ronaldo,Champions League,Group Stage,2010-10-19,H,AC Milan,LW,13,Direct free kick,
162,Ronaldo,LaLiga,Group Stage,2010-10-23,H,Racing  ,LW,15,Right-footed shot,Gonzalo Higuaín
166,Ronaldo,LaLiga,Group Stage,2010-10-30,A,Hércules CF  ,LW,82,Right-footed shot,Karim Benzema
