TÍTULO,ANO,CLUBE
3X MELHOR JOGADOR DO MUNDO,2017,Real Madrid CF
3X MELHOR JOGADOR DO MUNDO,2016,Real Madrid CF
3X MELHOR JOGADOR DO MUNDO,2008,Manchester United FC
5X VENCEDOR BALLON D'OR,2017,Cristiano Ronaldo
5X VENCEDOR BALLON D'OR,2016,Cristiano Ronaldo
5X VENCEDOR BALLON D'OR,2014,Cristiano Ronaldo
5X VENCEDOR BALLON D'OR,2013,Cristiano Ronaldo
5X VENCEDOR BALLON D'OR,2008,Cristiano Ronaldo
4X O FUTEBOLISTA DO ANO DA EUROPA,2017,Real Madrid CF
4X O FUTEBOLISTA DO ANO DA EUROPA,2016,Real Madrid CF
4X O FUTEBOLISTA DO ANO DA EUROPA,2014,Real Madrid CF
4X O FUTEBOLISTA DO ANO DA EUROPA,2008,Manchester United FC
10X FUTEBOLISTA DO ANO,2018,Portugal
10X FUTEBOLISTA DO ANO,2017,Portugal
10X FUTEBOLISTA DO ANO,2016,Portugal
10X FUTEBOLISTA DO ANO,2015,Portugal
10X FUTEBOLISTA DO ANO,2013,Portugal
10X FUTEBOLISTA DO ANO,2012,Portugal
10X FUTEBOLISTA DO ANO,2011,Portugal
10X FUTEBOLISTA DO ANO,2009,Portugal
10X FUTEBOLISTA DO ANO,2008,Portugal
10X FUTEBOLISTA DO ANO,2007,Portugal
19X MELHOR MARCADOR,20/21,Campeonato da Europa 2020 - 5 Golos
19X MELHOR MARCADOR,20/21,Serie A - 29 Golos
19X MELHOR MARCADOR,18/19,Liga das Nações da UEFA - Fase final - 3 Golos
19X MELHOR MARCADOR,17/18,Mundial de Clubes
19X MELHOR MARCADOR,17/18,UEFA Champions League - 15 Golos
19X MELHOR MARCADOR,16/17,Mundial de Clubes - 4 Golos
19X MELHOR MARCADOR,16/17,UEFA Champions League - 12 Golos
19X MELHOR MARCADOR,15/16,UEFA Champions League - 16 Golos
19X MELHOR MARCADOR,14/15,UEFA Champions League - 10 Golos
19X MELHOR MARCADOR,14/15,LaLiga - 48 Golos
19X MELHOR MARCADOR,13/14,LaLiga - 31 Golos
19X MELHOR MARCADOR,13/14,UEFA Champions League - 17 Golos
19X MELHOR MARCADOR,12/13,UEFA Champions League - 12 Golos
19X MELHOR MARCADOR,11/12,Campeonato da Europa 2012 - 3 Golos
19X MELHOR MARCADOR,10/11,Copa do Rei - 7 Golos
19X MELHOR MARCADOR,10/11,LaLiga - 40 Golos
19X MELHOR MARCADOR,07/08,UEFA Champions League - 8 Golos
19X MELHOR MARCADOR,07/08,Premier League - 31 Golos
19X MELHOR MARCADOR,04/05,FA Cup
2X FUTEBOLISTA DO ANO (TRANSFERMARKT.DE ESCOLHA DO UTILIZADOR),2019,Itália
2X FUTEBOLISTA DO ANO (TRANSFERMARKT.DE ESCOLHA DO UTILIZADOR),2017,Espanha
1X CAMPEÃO DA EUROPA,2016,Portugal
5X VENCEDOR DA CHAMPIONS-LEAGUE,17/18,Real Madrid CF
5X VENCEDOR DA CHAMPIONS-LEAGUE,16/17,Real Madrid CF
5X VENCEDOR DA CHAMPIONS-LEAGUE,15/16,Real Madrid CF
5X VENCEDOR DA CHAMPIONS-LEAGUE,13/14,Real Madrid CF
5X VENCEDOR DA CHAMPIONS-LEAGUE,07/08,Manchester United FC
4X CAMPEÃO DO MUNDO FIFA-KLUB,2017,Real Madrid CF
4X CAMPEÃO DO MUNDO FIFA-KLUB,2016,Real Madrid CF
4X CAMPEÃO DO MUNDO FIFA-KLUB,2014,Real Madrid CF
4X CAMPEÃO DO MUNDO FIFA-KLUB,2008,Manchester United FC
3X CAMPEÃO DA INGLATERRA,2009,Manchester United FC
3X CAMPEÃO DA INGLATERRA,2008,Manchester United FC
3X CAMPEÃO DA INGLATERRA,2007,Manchester United FC
2X CAMPEÃO DE ESPANHA,16/17,Real Madrid CF
2X CAMPEÃO DE ESPANHA,2023-12-11 00:00:00,Real Madrid CF
2X CAMPEÃO DE ITÁLIA,19/20,Juventus FC
2X CAMPEÃO DE ITÁLIA,18/19,Juventus FC
1X VENCEDOR UEFA NATIONS LEAGUE,2019,Portugal
3X VENCEDOR UEFA-SUPERCUP,17/18,Real Madrid CF
3X VENCEDOR UEFA-SUPERCUP,16/17,Real Madrid CF
3X VENCEDOR UEFA-SUPERCUP,14/15,Real Madrid CF
1X VENCEDOR DA TAÇA DE INGLATERRA,2004,Manchester United FC
2X VENCEDOR DA TAÇA DE ESPANHA,13/14,Real Madrid CF
2X VENCEDOR DA TAÇA DE ESPANHA,10/11,Real Madrid CF
1X VENCEDOR DA TAÇA DE ITÁLIA,20/21,Juventus FC
2X VENCEDOR DA TAÇA DA LIGA DE INGLATERRA,2009,Manchester United FC
2X VENCEDOR DA TAÇA DA LIGA DE INGLATERRA,2006,Manchester United FC
2X VENCEDOR DA SUPERTAÇA DE ESPANHA,17/18,Real Madrid CF
2X VENCEDOR DA SUPERTAÇA DE ESPANHA,12/13,Real Madrid CF
2X VENCEDOR DA SUPERTAÇA DA ITÁLIA,20/21,Juventus FC
2X VENCEDOR DA SUPERTAÇA DA ITÁLIA,18/19,Juventus FC
2X VENCEDOR DA SUPERTAÇA DE INGLATERRA,2008,Manchester United FC
2X VENCEDOR DA SUPERTAÇA DE INGLATERRA,2007,Manchester United FC
1X VENCEDOR DA SUPERTAÇA DE PORTUGAL,2002,Sporting CP
