ID,TÍTULO,ANO,CLUBE
0,MELHOR JOGADOR DO MUNDO,2022,Lionel Messi
1,MELHOR JOGADOR DO MUNDO,2019,Lionel Messi
2,MELHOR JOGADOR DO MUNDO,2009,Lionel Messi
3,VENCEDOR BALLON DOR,2021,Lionel Messi
4,VENCEDOR BALLON DOR,2019,Lionel Messi
5,VENCEDOR BALLON DOR,2015,Lionel Messi
6,VENCEDOR BALLON DOR,2012,Lionel Messi
7,VENCEDOR BALLON DOR,2011,Lionel Messi
8,VENCEDOR BALLON DOR,2010,Lionel Messi
9,VENCEDOR BALLON DOR,2009,Lionel Messi
10,O FUTEBOLISTA DO ANO DA EUROPA,2015,Lionel Messi
11,O FUTEBOLISTA DO ANO DA EUROPA,2011,Lionel Messi
12,O FUTEBOLISTA DO ANO DA EUROPA,2009,Lionel Messi
13,MELHOR MARCADOR,20/21,Copa América 2021 - 4 Golos
14,MELHOR MARCADOR,20/21,LaLiga - 30 Golos
15,MELHOR MARCADOR,19/20,LaLiga - 25 Golos
16,MELHOR MARCADOR,18/19,LaLiga - 36 Golos
17,MELHOR MARCADOR,18/19,UEFA Champions League - 12 Golos
18,MELHOR MARCADOR,17/18,LaLiga - 34 Golos
19,MELHOR MARCADOR,16/17,Copa do Rei
20,MELHOR MARCADOR,16/17,LaLiga - 37 Golos
21,MELHOR MARCADOR,15/16,Copa do Rei - 5 Golos
22,MELHOR MARCADOR,14/15,UEFA Champions League - 10 Golos
23,MELHOR MARCADOR,13/14,Copa do Rei - 5 Golos
24,MELHOR MARCADOR,12/13,LaLiga - 46 Golos
25,MELHOR MARCADOR,11/12,UEFA Champions League - 14 Golos
26,MELHOR MARCADOR,11/12,LaLiga - 50 Golos
27,MELHOR MARCADOR,10/11,Mundial de Clubes
28,MELHOR MARCADOR,10/11,UEFA Champions League - 12 Golos
29,MELHOR MARCADOR,10/11,Copa do Rei
30,MELHOR MARCADOR,09/10,LaLiga - 34 Golos
31,MELHOR MARCADOR,09/10,UEFA Champions League - 8 Golos
32,MELHOR MARCADOR,08/09,Copa do Rei - 6 Golos
33,MELHOR MARCADOR,08/09,UEFA Champions League - 9 Golos
34,MELHOR MARCADOR,04/05,Campeonato do Mundo Sub 20 2005 - 6 Golos
35,FUTEBOLISTA DO ANO (TRANSFERMARKT.DE ESCOLHA DO UTILIZADOR),2021,Espanha
36,FUTEBOLISTA DO ANO (TRANSFERMARKT.DE ESCOLHA DO UTILIZADOR),2020,Espanha
37,FUTEBOLISTA DO ANO (TRANSFERMARKT.DE ESCOLHA DO UTILIZADOR),2019,Espanha
38,FUTEBOLISTA DO ANO (TRANSFERMARKT.DE ESCOLHA DO UTILIZADOR),2018,Espanha
39,CAMPEÃO DO MUNDO,2022,Argentina
40,VENCEDOR COPA AMÉRICA,20/21,Argentina
41,VENCEDOR DA CHAMPIONS-LEAGUE,14/15,FC Barcelona
42,VENCEDOR DA CHAMPIONS-LEAGUE,10/11,FC Barcelona
43,VENCEDOR DA CHAMPIONS-LEAGUE,08/09,FC Barcelona
44,VENCEDOR DA CHAMPIONS-LEAGUE,05/06,FC Barcelona
45,CAMPEÃO DO MUNDO FIFA-KLUB,2016,FC Barcelona
46,CAMPEÃO DO MUNDO FIFA-KLUB,2012,FC Barcelona
47,CAMPEÃO DO MUNDO FIFA-KLUB,2010,FC Barcelona
48,CAMPEÃO DE ESPANHA,18/19,FC Barcelona
49,CAMPEÃO DE ESPANHA,17/18,FC Barcelona
50,CAMPEÃO DE ESPANHA,15/16,FC Barcelona
51,CAMPEÃO DE ESPANHA,14/15,FC Barcelona
52,CAMPEÃO DE ESPANHA,12/13,FC Barcelona
53,CAMPEÃO DE ESPANHA,10/11,FC Barcelona
54,CAMPEÃO DE ESPANHA,09/10,FC Barcelona
55,CAMPEÃO DE ESPANHA,08/09,FC Barcelona
56,CAMPEÃO DE ESPANHA,05/04,FC Barcelona
57,CAMPEÃO DE ESPANHA,04/05,FC Barcelona
58,CAMPEÃO DE FRANÇA,21/22,FC Paris Saint-Germain
59,VENCEDOR UEFA-SUPERCUP,15/16,FC Barcelona
60,VENCEDOR UEFA-SUPERCUP,11/12,FC Barcelona
61,VENCEDOR UEFA-SUPERCUP,09/10,FC Barcelona
62,VENCEDOR DA TAÇA DE ESPANHA,20/21,FC Barcelona
63,VENCEDOR DA TAÇA DE ESPANHA,17/18,FC Barcelona
64,VENCEDOR DA TAÇA DE ESPANHA,16/17,FC Barcelona
65,VENCEDOR DA TAÇA DE ESPANHA,15/16,FC Barcelona
66,VENCEDOR DA TAÇA DE ESPANHA,14/15,FC Barcelona
67,VENCEDOR DA TAÇA DE ESPANHA,11/12,FC Barcelona
68,VENCEDOR DA TAÇA DE ESPANHA,08/09,FC Barcelona
69,VENCEDOR DA SUPERTAÇA DE ESPANHA,18/19,FC Barcelona
70,VENCEDOR DA SUPERTAÇA DE ESPANHA,16/17,FC Barcelona
71,VENCEDOR DA SUPERTAÇA DE ESPANHA,13/14,FC Barcelona
72,VENCEDOR DA SUPERTAÇA DE ESPANHA,11/12,FC Barcelona
73,VENCEDOR DA SUPERTAÇA DE ESPANHA,10/11,FC Barcelona
74,VENCEDOR DA SUPERTAÇA DE ESPANHA,09/10,FC Barcelona
75,VENCEDOR DA SUPERTAÇA DE ESPANHA,06/07,FC Barcelona
76,VENCEDOR DA SUPERTAÇA DE ESPANHA,05/06,FC Barcelona
77,CAMPEÃO DO MUNDO SUB20,2005,Argentina Sub-20
