,ID,TÍTULO,ANO,CLUBE,TIPO
0,0,MELHOR JOGADOR DO MUNDO,2017,Real Madrid CF,Individual
1,1,MELHOR JOGADOR DO MUNDO,2016,Real Madrid CF,Individual
2,2,MELHOR JOGADOR DO MUNDO,2008,Manchester United FC,Individual
3,3, VENCEDOR BALLON DOR,2017,Cristiano Ronaldo,Time
4,4, VENCEDOR BALLON DOR,2016,Cristiano Ronaldo,Time
5,5, VENCEDOR BALLON DOR,2014,Cristiano Ronaldo,Time
6,6, VENCEDOR BALLON DOR,2013,Cristiano Ronaldo,Time
7,7, VENCEDOR BALLON DOR,2008,Cristiano Ronaldo,Time
8,8,O FUTEBOLISTA DO ANO DA EUROPA,2017,Real Madrid CF,Individual
9,9,O FUTEBOLISTA DO ANO DA EUROPA,2016,Real Madrid CF,Individual
10,10,O FUTEBOLISTA DO ANO DA EUROPA,2014,Real Madrid CF,Individual
11,11,O FUTEBOLISTA DO ANO DA EUROPA,2008,Manchester United FC,Individual
12,12,FUTEBOLISTA DO ANO,2018,Portugal,Individual
13,13,FUTEBOLISTA DO ANO,2017,Portugal,Individual
14,14,FUTEBOLISTA DO ANO,2016,Portugal,Individual
15,15,FUTEBOLISTA DO ANO,2015,Portugal,Individual
16,16,FUTEBOLISTA DO ANO,2013,Portugal,Individual
17,17,FUTEBOLISTA DO ANO,2012,Portugal,Individual
18,18,FUTEBOLISTA DO ANO,2011,Portugal,Individual
19,19,FUTEBOLISTA DO ANO,2009,Portugal,Individual
20,20,FUTEBOLISTA DO ANO,2008,Portugal,Individual
21,21,FUTEBOLISTA DO ANO,2007,Portugal,Individual
22,22,MELHOR MARCADOR,20/21,Campeonato da Europa 2020 - 5 Golos,Individual
23,23,MELHOR MARCADOR,20/21,Serie A - 29 Golos,Individual
24,24,MELHOR MARCADOR,18/19,Liga das Nações da UEFA - Fase final - 3 Golos,Individual
25,25,MELHOR MARCADOR,17/18,Mundial de Clubes,Individual
26,26,MELHOR MARCADOR,17/18,UEFA Champions League - 15 Golos,Individual
27,27,MELHOR MARCADOR,16/17,Mundial de Clubes - 4 Golos,Individual
28,28,MELHOR MARCADOR,16/17,UEFA Champions League - 12 Golos,Individual
29,29,MELHOR MARCADOR,15/16,UEFA Champions League - 16 Golos,Individual
30,30,MELHOR MARCADOR,14/15,UEFA Champions League - 10 Golos,Individual
31,31,MELHOR MARCADOR,14/15,LaLiga - 48 Golos,Individual
32,32,MELHOR MARCADOR,13/14,LaLiga - 31 Golos,Individual
