,ID,TÍTULO,ANO,CLUBE,TIPO
0,0,MELHOR JOGADOR DO MUNDO,2022,Lionel Messi,Individual
1,1,MELHOR JOGADOR DO MUNDO,2019,Lionel Messi,Individual
2,2,MELHOR JOGADOR DO MUNDO,2009,Lionel Messi,Individual
3,3,VENCEDOR BALLON DOR,2021,Lionel Messi,Individual
4,4,VENCEDOR BALLON DOR,2019,Lionel Messi,Individual
5,5,VENCEDOR BALLON DOR,2015,Lionel Messi,Individual
6,6,VENCEDOR BALLON DOR,2012,Lionel Messi,Individual
7,7,VENCEDOR BALLON DOR,2011,Lionel Messi,Individual
8,8,VENCEDOR BALLON DOR,2010,Lionel Messi,Individual
9,9,VENCEDOR BALLON DOR,2009,Lionel Messi,Individual
10,10,O FUTEBOLISTA DO ANO DA EUROPA,2015,Lionel Messi,Individual
11,11,O FUTEBOLISTA DO ANO DA EUROPA,2011,Lionel Messi,Individual
12,12,O FUTEBOLISTA DO ANO DA EUROPA,2009,Lionel Messi,Individual
13,13,MELHOR MARCADOR,20/21,Copa América 2021 - 4 Golos,Individual
14,14,MELHOR MARCADOR,20/21,LaLiga - 30 Golos,Individual
15,15,MELHOR MARCADOR,19/20,LaLiga - 25 Golos,Individual
16,16,MELHOR MARCADOR,18/19,LaLiga - 36 Golos,Individual
17,17,MELHOR MARCADOR,18/19,UEFA Champions League - 12 Golos,Individual
18,18,MELHOR MARCADOR,17/18,LaLiga - 34 Golos,Individual
19,19,MELHOR MARCADOR,16/17,Copa do Rei,Individual
20,20,MELHOR MARCADOR,16/17,LaLiga - 37 Golos,Individual
21,21,MELHOR MARCADOR,15/16,Copa do Rei - 5 Golos,Individual
22,22,MELHOR MARCADOR,14/15,UEFA Champions League - 10 Golos,Individual
23,23,MELHOR MARCADOR,13/14,Copa do Rei - 5 Golos,Individual
24,24,MELHOR MARCADOR,12/13,LaLiga - 46 Golos,Individual
25,25,MELHOR MARCADOR,11/12,UEFA Champions League - 14 Golos,Individual
26,26,MELHOR MARCADOR,11/12,LaLiga - 50 Golos,Individual
27,27,MELHOR MARCADOR,10/11,Mundial de Clubes,Individual
28,28,MELHOR MARCADOR,10/11,UEFA Champions League - 12 Golos,Individual
29,29,MELHOR MARCADOR,10/11,Copa do Rei,Individual
30,30,MELHOR MARCADOR,09/10,LaLiga - 34 Golos,Individual
31,31,MELHOR MARCADOR,09/10,UEFA Champions League - 8 Golos,Individual
