,Unnamed: 0,TÍTULO,ANO,CLUBE,JOGADOR,TIPO
0,0,MELHOR JOGADOR DO MUNDO,2017,Real Madrid CF,Cristiano Ronaldo,Individual
1,1,MELHOR JOGADOR DO MUNDO,2016,Real Madrid CF,Cristiano Ronaldo,Individual
2,2,MELHOR JOGADOR DO MUNDO,2008,Manchester United FC,Cristiano Ronaldo,Individual
3,3,VENCEDOR BALLON D OR,2017,Cristiano Ronaldo,Cristiano Ronaldo,Individual
4,4,VENCEDOR BALLON D OR,2016,Cristiano Ronaldo,Cristiano Ronaldo,Individual
5,5,VENCEDOR BALLON D OR,2014,Cristiano Ronaldo,Cristiano Ronaldo,Individual
6,6,VENCEDOR BALLON D OR,2013,Cristiano Ronaldo,Cristiano Ronaldo,Individual
7,7,VENCEDOR BALLON D OR,2008,Cristiano Ronaldo,Cristiano Ronaldo,Individual
8,8,O FUTEBOLISTA DO ANO DA EUROPA,2017,Real Madrid CF,Cristiano Ronaldo,Individual
9,9,O FUTEBOLISTA DO ANO DA EUROPA,2016,Real Madrid CF,Cristiano Ronaldo,Individual
10,10,O FUTEBOLISTA DO ANO DA EUROPA,2014,Real Madrid CF,Cristiano Ronaldo,Individual
11,11,O FUTEBOLISTA DO ANO DA EUROPA,2008,Manchester United FC,Cristiano Ronaldo,Individual
12,12,FUTEBOLISTA DO ANO,2018,Portugal,Cristiano Ronaldo,Individual
13,13,FUTEBOLISTA DO ANO,2017,Portugal,Cristiano Ronaldo,Individual
14,14,FUTEBOLISTA DO ANO,2016,Portugal,Cristiano Ronaldo,Individual
15,15,FUTEBOLISTA DO ANO,2015,Portugal,Cristiano Ronaldo,Individual
16,16,FUTEBOLISTA DO ANO,2013,Portugal,Cristiano Ronaldo,Individual
17,17,FUTEBOLISTA DO ANO,2012,Portugal,Cristiano Ronaldo,Individual
18,18,FUTEBOLISTA DO ANO,2011,Portugal,Cristiano Ronaldo,Individual
19,19,FUTEBOLISTA DO ANO,2009,Portugal,Cristiano Ronaldo,Individual
20,20,FUTEBOLISTA DO ANO,2008,Portugal,Cristiano Ronaldo,Individual
21,21,FUTEBOLISTA DO ANO,2007,Portugal,Cristiano Ronaldo,Individual
22,22,MELHOR MARCADOR,20/21,Campeonato da Europa 2020 - 5 Golos,Cristiano Ronaldo,Individual
23,23,MELHOR MARCADOR,20/21,Serie A - 29 Golos,Cristiano Ronaldo,Individual
24,24,MELHOR MARCADOR,18/19,Liga das Nações da UEFA - Fase final - 3 Golos,Cristiano Ronaldo,Individual
25,25,MELHOR MARCADOR,17/18,Mundial de Clubes,Cristiano Ronaldo,Individual
26,26,MELHOR MARCADOR,17/18,UEFA Champions League - 15 Golos,Cristiano Ronaldo,Individual
27,27,MELHOR MARCADOR,16/17,Mundial de Clubes - 4 Golos,Cristiano Ronaldo,Individual
28,28,MELHOR MARCADOR,16/17,UEFA Champions League - 12 Golos,Cristiano Ronaldo,Individual
29,29,MELHOR MARCADOR,15/16,UEFA Champions League - 16 Golos,Cristiano Ronaldo,Individual
30,30,MELHOR MARCADOR,14/15,UEFA Champions League - 10 Golos,Cristiano Ronaldo,Individual
31,31,MELHOR MARCADOR,14/15,LaLiga - 48 Golos,Cristiano Ronaldo,Individual
32,32,MELHOR MARCADOR,13/14,LaLiga - 31 Golos,Cristiano Ronaldo,Individual
33,33,MELHOR MARCADOR,13/14,UEFA Champions League - 17 Golos,Cristiano Ronaldo,Individual
34,34,MELHOR MARCADOR,12/13,UEFA Champions League - 12 Golos,Cristiano Ronaldo,Individual
35,35,MELHOR MARCADOR,11/12,Campeonato da Europa 2012 - 3 Golos,Cristiano Ronaldo,Individual
36,36,MELHOR MARCADOR,10/11,Copa do Rei - 7 Golos,Cristiano Ronaldo,Individual
37,37,MELHOR MARCADOR,10/11,LaLiga - 40 Golos,Cristiano Ronaldo,Individual
38,38,MELHOR MARCADOR,07/08,UEFA Champions League - 8 Golos,Cristiano Ronaldo,Individual
39,39,MELHOR MARCADOR,07/08,Premier League - 31 Golos,Cristiano Ronaldo,Individual
40,40,MELHOR MARCADOR,04/05,FA Cup,Cristiano Ronaldo,Individual
